downloaded,language,form,dataset_name,child_id,age,comprehension,production,caregiver_education,sex,monolingual
2022-11-11,Danish,WS,Bleses,9039,23,38,38,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9040,23,210,210,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9041,23,209,209,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9042,23,239,239,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9043,22,197,197,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9045,22,297,297,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9046,22,42,42,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9047,22,156,156,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9048,22,161,161,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9059,21,45,45,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9061,21,160,160,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9062,21,416,416,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9063,21,291,291,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9065,20,41,41,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9069,20,151,151,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9070,20,22,22,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9071,20,61,61,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9072,20,15,15,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9073,20,59,59,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9075,19,74,74,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9076,19,183,183,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9078,19,48,48,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9079,19,126,126,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9083,18,27,27,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9085,18,28,28,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9086,18,39,39,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9087,18,26,26,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9088,17,66,66,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9089,17,8,8,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9090,17,21,21,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9091,17,8,8,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9092,17,15,15,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9093,17,3,3,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9095,17,37,37,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9097,16,13,13,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9102,29,392,392,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9106,28,715,715,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9108,27,305,305,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9109,27,458,458,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9111,26,184,184,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9112,26,492,492,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9115,26,342,342,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9117,25,333,333,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9119,24,35,35,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9121,24,139,139,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9125,24,240,240,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9127,22,304,304,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9129,22,390,390,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9130,21,39,39,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9131,21,127,127,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9132,21,15,15,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9133,21,69,69,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9135,20,34,34,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9137,20,29,29,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9138,20,8,8,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9140,19,18,18,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9143,19,47,47,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9144,19,136,136,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9147,17,6,6,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9148,17,3,3,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9150,17,5,5,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9151,16,3,3,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9152,16,11,11,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9155,30,304,304,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9156,30,395,395,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9160,29,528,528,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9161,29,235,235,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9162,28,356,356,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9163,28,517,517,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9164,28,228,228,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9165,28,212,212,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9168,27,377,377,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9170,27,206,206,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9172,26,286,286,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9173,26,311,311,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9174,26,349,349,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9177,24,301,301,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9179,24,157,157,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9180,24,259,259,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9181,24,231,231,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9182,23,262,262,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9183,23,136,136,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9184,23,21,21,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9185,23,24,24,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9188,22,112,112,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9190,22,376,376,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9192,21,25,25,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9196,20,379,379,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9197,19,93,93,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9198,19,33,33,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9199,19,169,169,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9201,18,52,52,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9203,17,70,70,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9205,17,13,13,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9206,16,32,32,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9210,16,10,10,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9211,30,564,564,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9216,30,560,560,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9217,29,217,217,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9220,29,352,352,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9221,29,374,374,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9224,29,416,416,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9233,28,305,305,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9235,28,220,220,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9236,28,326,326,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9239,27,571,571,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9241,27,239,239,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9243,27,296,296,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9246,25,450,450,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9252,26,226,226,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9254,25,441,441,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9255,25,271,271,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9256,24,59,59,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9261,24,377,377,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9262,24,120,120,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9263,24,222,222,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9264,24,293,293,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9266,24,87,87,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9268,23,179,179,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9270,23,262,262,Some College,Male,TRUE
